id;name;description;completed;progress;jhi_order;priority;due_date
1;Officer Saudi New;vortals;false;66290;64727;LOW;2021-10-17T19:20:29
2;yellow Brazil;deploy;false;42478;55264;LOW;2021-10-17T01:49:06
3;Chicken;artificial Omani;true;6096;98177;LOW;2021-10-17T05:53:20
4;Persistent Samoa budgetary;deposit Operative Meadows;true;17447;93535;HIGH;2021-10-17T16:20:07
5;Optimization invoice payment;EXE;false;94132;18097;HIGH;2021-10-17T13:16:36
6;Avon Indiana proactive;Consultant Incredible Global;false;58671;57886;HIGH;2021-10-17T14:42:59
7;Tuna Business-focused;background;false;28568;70236;HIGH;2021-10-17T08:53:52
8;port;indexing Avon;false;91116;74000;LOW;2021-10-17T06:07:40
9;Republic complexity index;hack Clothing User-friendly;true;92460;75044;LOW;2021-10-17T12:16:49
10;JBOD intranet auxiliary;Moroccan quantifying;false;89614;98877;LOW;2021-10-17T03:29:11
